timestamp_utc,open,high,low,close,tick_volume,spread,real_volume
2024-02-16 02:30:00,1.07644,1.07646,1.07621,1.0763,316,11,0
2024-02-16 02:45:00,1.0763,1.07653,1.07606,1.07643,572,11,0
2024-02-16 03:00:00,1.07644,1.0765,1.07607,1.07632,570,11,0
2024-02-16 03:15:00,1.07632,1.07657,1.07631,1.0765500000000001,484,11,0
2024-02-16 03:30:00,1.0765500000000001,1.07657,1.07634,1.07649,430,11,0
2024-02-16 03:45:00,1.07649,1.07653,1.0763,1.07642,365,11,0
2024-02-16 04:00:00,1.07643,1.07645,1.0761,1.07626,374,11,0
2024-02-16 04:15:00,1.07626,1.07636,1.07621,1.07629,366,11,0
2024-02-16 04:30:00,1.07629,1.07636,1.07624,1.0763,367,11,0
2024-02-16 04:45:00,1.0763,1.0763,1.07593,1.07597,371,11,0
2024-02-16 05:00:00,1.07597,1.07626,1.07594,1.0761,335,11,0
2024-02-16 05:15:00,1.07608,1.07615,1.076,1.07609,339,11,0
2024-02-16 05:30:00,1.07609,1.0762,1.07589,1.076,308,11,0
2024-02-16 05:45:00,1.076,1.07601,1.07585,1.07593,336,11,0
2024-02-16 06:00:00,1.07593,1.07596,1.07575,1.07575,403,11,0
2024-02-16 06:15:00,1.07575,1.07585,1.07568,1.07582,312,11,0
2024-02-16 06:30:00,1.07584,1.07596,1.07577,1.07592,289,11,0
2024-02-16 06:45:00,1.07592,1.07605,1.07583,1.07586,311,11,0
2024-02-16 07:00:00,1.07585,1.07615,1.07579,1.07601,383,11,0
2024-02-16 07:15:00,1.07601,1.07607,1.07586,1.07593,377,11,0
2024-02-16 07:30:00,1.07591,1.07605,1.07586,1.07603,370,11,0
2024-02-16 07:45:00,1.07603,1.07605,1.07589,1.07596,481,11,0
2024-02-16 08:00:00,1.07595,1.0760399999999999,1.07583,1.07597,250,11,0
2024-02-16 08:15:00,1.07596,1.07602,1.0758,1.07588,385,11,0
2024-02-16 08:30:00,1.07588,1.07617,1.07582,1.07615,302,11,0
2024-02-16 08:45:00,1.07614,1.07622,1.07603,1.07621,474,11,0
2024-02-16 09:00:00,1.07622,1.0764,1.07609,1.07634,654,11,0
2024-02-16 09:15:00,1.07634,1.07669,1.07611,1.07647,670,11,0
2024-02-16 09:30:00,1.07646,1.07673,1.07612,1.07622,802,11,0
2024-02-16 09:45:00,1.07621,1.07631,1.07596,1.07601,798,11,0
2024-02-16 10:00:00,1.07603,1.07639,1.07595,1.07603,822,11,0
2024-02-16 10:15:00,1.07601,1.07649,1.0759,1.07626,748,11,0
2024-02-16 10:30:00,1.07625,1.07679,1.07621,1.07666,789,11,0
2024-02-16 10:45:00,1.07666,1.07708,1.07666,1.07694,638,11,0
2024-02-16 11:00:00,1.07694,1.07713,1.07659,1.0766,753,11,0
2024-02-16 11:15:00,1.0766,1.07696,1.07649,1.07687,729,11,0
2024-02-16 11:30:00,1.07686,1.07708,1.07648,1.07658,667,11,0
2024-02-16 11:45:00,1.07658,1.07664,1.07634,1.07654,605,11,0
2024-02-16 12:00:00,1.07656,1.07658,1.07629,1.0765,541,11,0
2024-02-16 12:15:00,1.0765,1.0765,1.0762,1.07628,374,11,0
2024-02-16 12:30:00,1.07627,1.07695,1.07627,1.07688,489,11,0
2024-02-16 12:45:00,1.07687,1.07701,1.07669,1.07677,507,11,0
2024-02-16 13:00:00,1.07676,1.07733,1.07664,1.07727,470,11,0
2024-02-16 13:15:00,1.07727,1.07758,1.07722,1.07727,461,11,0
2024-02-16 13:30:00,1.07728,1.07791,1.07723,1.07779,539,11,0
2024-02-16 13:45:00,1.07779,1.07795,1.07771,1.07771,549,11,0
2024-02-16 14:00:00,1.07769,1.07775,1.07737,1.07738,553,11,0
2024-02-16 14:15:00,1.07737,1.07754,1.07728,1.07729,510,11,0
2024-02-16 14:30:00,1.07729,1.07755,1.07692,1.07706,607,11,0
2024-02-16 14:45:00,1.07706,1.07724,1.0767,1.07676,715,11,0
2024-02-16 15:00:00,1.07676,1.07706,1.0765500000000001,1.07656,840,11,0
2024-02-16 15:15:00,1.07656,1.07675,1.07614,1.07667,883,11,0
2024-02-16 15:30:00,1.07669,1.07673,1.07315,1.07405,2113,12,0
2024-02-16 15:45:00,1.07405,1.07485,1.07381,1.07456,1488,11,0
2024-02-16 16:00:00,1.07462,1.07526,1.07427,1.07429,1189,11,0
2024-02-16 16:15:00,1.07429,1.07498,1.07403,1.07496,831,11,0
2024-02-16 16:30:00,1.07495,1.07565,1.07475,1.07532,959,11,0
2024-02-16 16:45:00,1.07532,1.0755,1.07487,1.0752,901,11,0
2024-02-16 17:00:00,1.0749900000000001,1.07685,1.07481,1.07685,1014,11,0
2024-02-16 17:15:00,1.07685,1.07715,1.07656,1.07671,892,11,0
2024-02-16 17:30:00,1.07671,1.07764,1.07641,1.0775,812,11,0
