policy,factor,value,trade_count,gross_R,friction_R,net_R,average_R,median_R,win_rate,loss_rate,profit_factor,max_drawdown_R,average_hold_minutes,median_hold_minutes,position_hours,R_per_position_hour,mean_MFE_R,mean_MAE_R,duration_exit_count,SL_exit_count,TP_exit_count,original_exit_count,evidence_class
45,volatility_regime,NORMAL,28,-5.094940233953453,5.2506107634445245,-10.345550997397977,-0.3694839641927849,-0.26295675119234857,0.32142857142857145,0.6785714285714286,0.22723046555014145,11.517690173920396,37.07142857142857,45.0,17.3,-0.5980087281732934,0.42967236783772395,-0.5858395143650494,19,5,0,9,WEAK_FORMAL_ATTRIBUTION
45,session,ASIAN_LONDON,15,-7.63022210332478,3.125486784058204,-10.755708887382983,-0.7170472591588656,-0.8452899064915775,0.06666666666666667,0.9333333333333333,0.0031192572802130757,10.789363688617568,36.266666666666666,45.0,9.066666666666666,-1.1862914214025349,0.3244047563567183,-0.6429830884564077,9,4,0,6,WEAK_FORMAL_ATTRIBUTION
45,session,LONDON_NEWYORK,16,1.545486525682807,2.7609542417974873,-1.2154677161146803,-0.07596673225716752,-2.9433589160694773e-05,0.5,0.5,0.71223972167008,2.6030478034396625,35.5,45.0,9.466666666666667,-0.12839447705436763,0.4710857232182793,-0.5042533719887727,10,2,0,6,WEAK_FORMAL_ATTRIBUTION
45,higher_timeframe_bias,BEARISH,31,-6.084735577641973,5.886441025855691,-11.971176603497664,-0.3861669872096021,-0.2494738643438489,0.2903225806451613,0.7096774193548387,0.202626094314435,12.137037895090744,35.87096774193548,45.0,18.533333333333335,-0.6459267951527516,0.400111061833653,-0.5713806541505316,19,6,0,12,WEAK_FORMAL_ATTRIBUTION
60,trend_regime,RANGE,12,-4.1594719361894485,2.4439814832166404,-6.6034534194060885,-0.5502877849505073,-0.5591044004293078,0.3333333333333333,0.6666666666666666,0.14493218125138482,7.219809444395457,43.5,49.0,8.7,-0.759017634414493,0.5170772330566052,-0.54568099492601,5,5,0,7,WEAK_FORMAL_ATTRIBUTION
60,trend_regime,TREND,19,-1.9567886212237835,3.442459542639051,-5.3992481638628345,-0.28417095599278075,-0.24631267650906788,0.3684210526315789,0.631578947368421,0.354357477495611,5.946707067667909,44.10526315789474,60.0,13.966666666666667,-0.3865810141190574,0.4509828184553073,-0.610831957348803,10,5,0,9,WEAK_FORMAL_ATTRIBUTION
60,volatility_regime,HIGH,2,-0.8701177879345617,0.5076043098176675,-1.377722097752229,-0.6888610488761145,-0.6888610488761145,0.0,1.0,0.0,1.377722097752229,15.0,15.0,0.5,-2.755444195504458,0.11364693555716837,-0.38964663619595435,0,1,0,2,DESCRIPTIVE_ONLY
60,volatility_regime,LOW,1,-0.11967755575395789,0.12822595259349975,-0.24790350834745764,-0.24790350834745764,-0.24790350834745764,0.0,1.0,0.0,0.24790350834745764,44.0,44.0,0.7333333333333333,-0.33805023865562406,0.14532274627263603,-0.5300006040531878,0,0,0,1,DESCRIPTIVE_ONLY
60,volatility_regime,NORMAL,28,-5.126465213724712,5.2506107634445245,-10.377075977169238,-0.3706098563274728,-0.343123143856899,0.39285714285714285,0.6071428571428571,0.2823448067190768,10.904910714985435,45.92857142857143,60.0,21.433333333333334,-0.4841559553889224,0.5143208474979689,-0.6015959018676529,15,9,0,13,WEAK_FORMAL_ATTRIBUTION
60,session,ASIAN_LONDON,15,-6.780484065910714,3.125486784058204,-9.905970849968918,-0.6603980566645945,-0.7096260943386268,0.2,0.8,0.09234440675920493,9.939625651203505,43.46666666666667,49.0,10.866666666666667,-0.9115924095063421,0.3911238705447755,-0.657207722048338,6,7,0,9,WEAK_FORMAL_ATTRIBUTION
